Nombre español,Nombre inglés,Info español,Info inglés ,Canción 
Dalia,Dahlia,"Es un género de plantas de la familia de las asteráceas. Es la flor nacional de México. El primer nombre dado a esta flor en el idioma náhuatl fue atlcotlixochitl, que viene de: a-tl (agua), coco-tli (tubo) y xochitl (flor).","It is a genus of plants in the Asteraceae family. It is the national flower of Mexico. The first name given to this flower in the Nahuatl language was atlcotlixochitl, which comes from: a-tl (water), coco-tli (tube) and xochitl (flower).","Vaya Futuro - Congelar 

https://www.youtube.com/watch?v=BHvSJeWIdPk"
Bugambilia,Bougainvillea,"Es un género de la familia Nyctaginaceae, con 18
especies aceptadas de las 35 descritas. Es nativa de Sudamérica y ampliamente cultivado en regiones tropicales y subtropicales. Su nombre significa “Arbusto trepador con brácteas de diversos colores y flores pequeña”.","It is a genus of the Nyctaginaceae family, with 18 accepted species of the 35 described. It is native to South America and widely cultivated in tropical and subtropical regions. Its name means ""climbing bush with bracts of various colors and small flowers"".","Toro y Moi - Ordinary Guy ft. The Matsson 2

https://www.youtube.com/watch?v=gZFYCjWk-1Q"
Clavel,Carnation,"(Dianthus caryophyllus) Perteneciente a la familia de las Caryophyllaceae, proveniente de las regiones mediterráneas. Dependiendo del color, el significado puede variar. En este caso, el clavel rojo significa amor sincero.","(Dianthus caryophyllus) Belonging to the Caryophyllaceae family, from the Mediterranean regions. Depending on the color, the meaning may vary. In this case, the red carnation means sincere love.","ACCV - Volver 

https://www.youtube.com/watch?v=dnK9oWnT9Hg"
Flor de Cerezo,Cherry Blossom,"(Sakura) Es una flor efímera de los cerezos que florece al comienzo de la primavera y puede ser de distintos colores y tonalidades, especialmente de rosa pálido. Es uno de los símbolos más conocidos de lacultura japonesa.Simboliza la inocencia, la sencillez, la belleza de la naturaleza y el renacimiento de la primavera.","(Sakura) It is an ephemeral flower of the cherry trees that blooms at the beginning of spring and can be of different colors and shades, especially of pale pink. It is one of the best known symbols of culture Japanese. It symbolizes innocence, simplicity, the beauty of nature and the spring revival.","Chicano Batman - Pink Elephant 

https://www.youtube.com/watch?v=YfgS3ku-YGA"
Girasol,Sunflower,"(Helianthus annuus) Es una planta herbáceaanual de la familia de lasasteráceas originaria de Centro y Norteamérica. El girasol también recibe otros nombres como mirasol o flor del Sol. Del náhuatl recibe los nombres de chimalatl o chimalxóchitl, que significan “flor de escudo”. Son reconocidos como el símbolo del sol. ","(Helianthus annuus) It is an annual herbaceous plant of the Asteraceae family native to Central and North America. The sunflower also receives other names such as flower of the Sun. From the Nahuatl it receives the name from chimalatl or chimalxóchitl, which mean ""shield flower"". They are recognized as the symbol of the sun.","Twin Peaks - What's The Matter

https://www.youtube.com/watch?v=QVvNhUm2C68"
,,,,
Peperomia Obtusifolia,Baby Rubberplant,"La peperomia es una planta de interior fuerte y resistente que forma una pequeña mata arbustiva erguida que se cubre desuaves hojas redondeadas de aspectocéreo y carnoso. 
 ","Peperomia is a strong and hardy houseplant that forms a small upright bushy clump covered in soft, rounded, waxy, fleshy-looking leaves.","Talk Talk - It's My Life 

https://www.youtube.com/watch?v=cFH5JgyZK1I"
Syngonium Podophyllum,Arrowhead plant,"Es una especie de planta aroide que comúnmente se cultiva como planta de interior. Es una planta vivaz de porte trepador o colgante, de follaje persistente, lustroso, con nervios bien marcados. 
 ","It is a species of aroid plant that is commonly grown as an indoor plant. It is a perennial climbing or hanging plant, with persistent, glossy foliage, with well-marked nerves.","Babe Rainbow - Something New

https://www.youtube.com/watch?v=IkWfuQvVcV8"
Maranta Leuconeura,Prayer plant ,"Se caracteriza por sus hojas ovaladas teñidas de verde oscuro, verde claro y recorridas por líneas rosadas o plateadas que se abren en abanico desde la vena central. Su follaje particularmente ornamental la hacen única, pero, además tiene mucho éxito en los hogares porque purifica el aire.","It is characterized by its oval leaves stained dark green, light green and crossed by pink or silver lines that fan out from the central vein. Its particularly ornamental foliage makes it unique, but it is also very successful in homes because it purifies the air.","Pond - Outside Is The Right Side

https://www.youtube.com/watch?v=daXKU-tCR8o"
Peperomia Caperata,Emerald Ripple Peperomia,"Es una especie de planta de la familia Piperaceae, originaria de Brasil. Es una planta herbácea que crece formando montículos de unos 20 cm de alto y ancho, con hojas corrugadas en forma de corazón, pecíolos de un color rojizo y espigas compactas de flores blancas de entre 5 y 8 cm de largo.","It is a species of plant in the Piperaceae family, native to Brazil. It is a herbaceous plant that grows in mounds about 7 inches high and wide, with corrugated heart-shaped leaves, reddish petioles and compact spikes of white flowers 2-4 inches long.","Angel Olsen - Spring 

https://www.youtube.com/watch?v=mSRsYI-bWkI"
Nephrolepis Exaltata,Sword Fern,"Es una especie de helecho de la familia Lomariopsidaceae, nativa en regiones tropicales de todo el mundo. Es común en los boques húmedos y pantanos. 
 ","It is a species of fern of the Lomariopsidaceae family, native to tropical regions around the world. It is common in humid forests and swamps.","BOYO - Timeframes

https://www.youtube.com/watch?v=jdP3VVO3oIk"
Ctenanthe Burle-Marxii,Fishbone Prayer Plant,"Pertenecen a la familia Marantaceae, que comprende varias especies de plantas originarias de zonas tropicales de América central y del Sur. Posee unas hojas redondeadas y alargadas, con un diseño increíble con base verde claro y dibujos en negro. Se adaptan bien en los ambientes con poca luz natural, opción ideal para quienes tienen pocas ventanas y quieren decorar con plantas de colores interesantes.","They belong to the Marantaceae family, which includes several species of plants native to tropical areas of Central and South America. It has rounded and elongated leaves, with an incredible design with a light green base and black drawings. They adapt well in environments with low natural light, an ideal option for those who have few windows and want to decorate with interesting colored plants.","Chocolat - Fou fou fou mon minou

https://www.youtube.com/watch?v=NT8KnRCZQc4"
Calathea Ornata,Pin-stripe Calathea,"Es una especie fanerógama de la familia Marantaceae. Se encuentra de forma natural en Sudamérica, concretamente en Colombia y Venezuela. La especie crece en las selvas tropicales.","It is a phanerogamous species of the Marantaceae family. It is found naturally in South America, specifically in Colombia and Venezuela. The species grows in tropical rainforests.","Ginger Root - B4

https://www.youtube.com/watch?v=DqtB21ShwoU"
Dieffenbachia,Mother-in-law's Tongue,"Es un género de plantas tropicales de la familia de las aráceas, notables por las características manchas claras en sus hojas. Se conocen cerca de 30 especies, alguna utilizadas frecuentemente como planta de interior debido a su tolerancia a la sombra. La especie más cultivada es Dieffenbachia bowmanii.","It is a genus of tropical plants of the Araceae family, notable for the characteristic light spots on their leaves. They know each other close of 30 species, some frequently used as indoor plants due to to its shade tolerance. The most cultivated species is Dieffenbachia bowmanii.","Elvis Costello & The Attractions - (I Don't Want To Go To) Chelsea

https://www.youtube.com/watch?v=XvRQDsH0Yho"
Asparagus Setaceus,Common Asparagus Fern,"Erróneamente conocido como ""helecho plumoso”, ""espuma de mar"" o ""brisa"" es una planta de la familia Asparagaceae, originaria de África del sur; a pesar de su nombre común, no se trata de un helecho verdadero sino de una planta con flores.","It is a plant of the Asparagaceae family, native to South Africa; despite its common name, it is not a true fern but a plant with flowers.","BEST INTEREST - Tyler, The Creator

https://www.youtube.com/watch?v=NkMTKGM-efw"
Suculenta,Succulents,"Son un grupo de plantas que almacenan el agua en sus hojas, tallos y raíces. Las hojas tienden a ser gruesas y carnosas, pero algunos géneros y especies tienen hojas más gruesas que otras. Las suculentas tienden a prosperar en climas secos y poco húmedos.","They are a group of plants that store water in their leaves, stems and roots. The leaves tend to be thick and fleshy, but some genera and species have thicker leaves than others. Succulents tend to thrive in dry, low-humidity climates.","Gordon Koang - Mal Mi Goa (Ginoli Remix)

https://www.youtube.com/watch?v=7i-reL4nseI"
Monstera Albo Variegata,Monstera Albo Variegata,"Es una planta todoterreno que resulta muy fácil de cuidar y de mantener, ya que tolera un rango de situaciones de iluminación bastante amplia. Esta es la planta favorita de Carlo (Klaatu Suuns).","It is an all-terrain plant that is very easy to care for and maintain, as it tolerates a fairly wide range of lighting situations. This is Carlo's (Klaatu Suuns) favorite plant.","Margaritas Podridas - Wow

https://www.youtube.com/watch?v=7smEC_HZbhw"
